任务分配到的节点是: node04
系统分给我的显卡是: 4,5,6
/var/spool/slurmd/job04357/slurm_script: line 22: /public/home/zy/miniconda3/etc/profile.d/conda.sh: No such file or directory

CondaError: Run 'conda init' before 'conda activate'

W0509 16:25:46.134468 3676017 torch/distributed/run.py:793] 
W0509 16:25:46.134468 3676017 torch/distributed/run.py:793] *****************************************
W0509 16:25:46.134468 3676017 torch/distributed/run.py:793] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0509 16:25:46.134468 3676017 torch/distributed/run.py:793] *****************************************
Train samples: 40550, Test samples: 10138
Train shapes: ε (40550, 2, 128, 128), X (40550, 1756, 2), Ez (40550, 1756), Ebz (40550, 2, 128, 128), Lambda (40550, 1)
Training:   0%|          | 0/1000 [00:00<?, ?it/s]Epoch 0, Total Loss: 0.18487376061649594, test Loss 0.07129041276260596
Training:  10%|▉         | 97/1000 [16:56:14<155:01:16, 618.03s/it]Epoch 97, Total Loss: 0.0033932211727536097, test Loss 0.0034852391486175412
Training:  10%|▉         | 98/1000 [17:06:31<154:46:52, 617.75s/it]Epoch 98, Total Loss: 0.0034213846697647063, test Loss 0.003246494142194185
Training:  10%|▉         | 99/1000 [17:16:48<154:33:14, 617.53s/it]Epoch 99, Total Loss: 0.0033412925699811244, test Loss 0.003461902297645845
Training:  10%|█         | 100/1000 [17:27:05<154:21:55, 617.46s/it]Epoch 100, Total Loss: 0.0032917197787919994, test Loss 0.003424561348312591
Training:  10%|█         | 101/1000 [17:37:23<154:12:45, 617.54s/it]Epoch 101, Total Loss: 0.0033204784869601328, test Loss 0.0038390815346490987
Training:  10%|█         | 102/1000 [17:47:41<154:02:30, 617.54s/it]Epoch 102, Total Loss: 0.0033665668782588676, test Loss 0.0038281323369026613
Training:  10%|█         | 103/1000 [17:57:58<153:50:23, 617.42s/it]Epoch 103, Total Loss: 0.0033162799030983002, test Loss 0.003237819079035741
Training:  10%|█         | 104/1000 [18:08:14<153:36:23, 617.17s/it]Epoch 104, Total Loss: 0.0033306571941043015, test Loss 0.003382449195579856
Training:  10%|█         | 105/1000 [18:18:30<153:21:09, 616.84s/it]Epoch 105, Total Loss: 0.0033089349570334, test Loss 0.0038850049077085737
Training:  11%|█         | 106/1000 [18:28:47<153:08:01, 616.65s/it]Epoch 106, Total Loss: 0.003251233532218469, test Loss 0.003093754617736161
Training:  11%|█         | 107/1000 [18:39:03<152:56:03, 616.53s/it]Epoch 107, Total Loss: 0.003305673475648137, test Loss 0.003581014753203162
Training:  11%|█         | 108/1000 [18:49:19<152:43:01, 616.35s/it]Epoch 108, Total Loss: 0.003273064154121836, test Loss 0.003157990570559474
Training:  11%|█         | 109/1000 [18:59:35<152:30:13, 616.18s/it]Epoch 109, Total Loss: 0.00324154042466546, test Loss 0.003738144282609337
Training:  11%|█         | 110/1000 [19:09:50<152:17:59, 616.04s/it]Epoch 110, Total Loss: 0.0032976385156411082, test Loss 0.0034696131652871935
Training:  11%|█         | 111/1000 [19:20:06<152:06:44, 615.98s/it]Epoch 111, Total Loss: 0.0032953318477053936, test Loss 0.0032953612395136425
Training:  11%|█         | 112/1000 [19:30:22<151:56:52, 616.01s/it]Epoch 112, Total Loss: 0.0032494515251537716, test Loss 0.0032643807019795386
Training:  11%|█▏        | 113/1000 [19:40:39<151:50:30, 616.27s/it]Epoch 113, Total Loss: 0.003253166139681865, test Loss 0.003598749860207909
Training:  11%|█▏        | 114/1000 [19:50:57<151:46:48, 616.71s/it]Epoch 114, Total Loss: 0.0031900553256531895, test Loss 0.003386555040943453
Training:  12%|█▏        | 115/1000 [20:01:14<151:37:02, 616.75s/it]Epoch 115, Total Loss: 0.0032252428509901617, test Loss 0.003602906037523648
Training:  12%|█▏        | 116/1000 [20:11:39<152:02:21, 619.16s/it]Epoch 116, Total Loss: 0.003205239481398267, test Loss 0.0033159322863634865
Training:  12%|█▏        | 117/1000 [20:21:59<151:55:46, 619.42s/it]Epoch 117, Total Loss: 0.003147367502643276, test Loss 0.0033237586317220757
Training:  12%|█▏        | 118/1000 [20:32:19<151:48:04, 619.60s/it]Epoch 118, Total Loss: 0.0032368312421982687, test Loss 0.0036251516230941974
Training:  12%|█▏        | 119/1000 [20:42:36<151:28:06, 618.94s/it]Epoch 119, Total Loss: 0.003134143384004047, test Loss 0.0035062595254800725
Training:  12%|█▏        | 120/1000 [20:52:53<151:08:11, 618.29s/it]Epoch 120, Total Loss: 0.003224123367796609, test Loss 0.0029669582872042066
Training:  12%|█▏        | 121/1000 [21:03:09<150:50:56, 617.81s/it]Epoch 121, Total Loss: 0.0031632655898944624, test Loss 0.0028983281953681612
Training:  12%|█▏        | 122/1000 [21:13:26<150:33:05, 617.30s/it]Epoch 122, Total Loss: 0.0031469817764433407, test Loss 0.0031785754997462516
Training:  12%|█▏        | 123/1000 [21:23:42<150:18:12, 616.98s/it]Epoch 123, Total Loss: 0.0031720969699643815, test Loss 0.0032662903062720934
Training:  12%|█▏        | 124/1000 [21:33:58<150:04:14, 616.73s/it]Epoch 124, Total Loss: 0.003142381593294352, test Loss 0.0031968019155941777
Training:  12%|█▎        | 125/1000 [21:44:28<150:50:33, 620.61s/it]Epoch 125, Total Loss: 0.0031314198899048307, test Loss 0.003198382991346317
Training:  13%|█▎        | 126/1000 [21:55:08<152:05:58, 626.50s/it]Epoch 126, Total Loss: 0.0031466623269952223, test Loss 0.0030463634088500756
Training:  13%|█▎        | 127/1000 [22:05:45<152:41:04, 629.63s/it]Epoch 127, Total Loss: 0.0031051391661618528, test Loss 0.003127581023329459
